"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0V690","2020-04-30 00:00:00","30.000","27.000","1.200","25.000","0.830","1013.700","","0.000","-99.000","-99.000","-99.000","27.300","","25.000",""
"C0Z210","2020-04-30 00:00:00","126.000","0.000","0.000","19.500","0.990","1005.700","","0.000","-99.000","-99.000","-99.000","24.900","","15.100",""
"C0U770","2020-04-30 00:00:00","5.000","342.000","3.700","19.600","0.990","1018.200","","0.000","-99.000","-99.000","-99.000","24.900","","18.500",""
"C0Z080","2020-04-30 00:00:00","298.000","0.000","0.000","18.300","0.990","984.700","","0.500","-99.000","-99.000","-99.000","28.800","","15.000",""
"C0G640","2020-04-30 00:00:00","17.000","0.000","0.000","20.400","0.940","1016.900","","0.000","-99.000","-99.000","-99.000","27.300","","18.900",""
"C0X200","2020-04-30 00:00:00","61.000","0.000","0.000","22.000","0.940","1009.300","","0.000","-99.000","-99.000","-99.000","30.600","","18.800",""
"C0U900","2020-04-30 00:00:00","63.000","240.000","1.100","19.600","0.990","1012.400","","0.000","-99.000","-99.000","-99.000","25.300","","18.600",""
"C0Z230","2020-04-30 00:00:00","31.000","291.000","3.000","22.200","0.730","1016.100","","0.000","-99.000","-99.000","-99.000","24.700","","19.800",""
"C0F9O0","2020-04-30 00:00:00","175.000","0.000","0.100","22.900","-99.000","996.200","","0.000","-99.000","-99.000","-99.000","29.600","","21.600",""
"C0AI20","2020-04-30 00:00:00","25.000","169.000","2.300","19.300","0.820","1013.400","","0.000","-99.000","-99.000","-99.000","27.400","","19.300",""
"C0R650","2020-04-30 00:00:00","29.000","48.000","0.500","24.300","0.990","1014.200","","0.000","-99.000","-99.000","-99.000","29.900","","21.700",""
"C0S750","2020-04-30 00:00:00","2280.000","285.000","1.600","6.600","0.870","777.000","","0.000","-99.000","-99.000","-99.000","15.800","","6.000",""
"C0I370","2020-04-30 00:00:00","671.000","0.000","0.000","18.600","0.850","942.600","","0.000","-99.000","-99.000","-99.000","28.900","","17.000",""
"C0K400","2020-04-30 00:00:00","65.000","0.000","0.000","22.500","0.880","1009.600","","0.000","-99.000","-99.000","-99.000","29.000","","20.500",""
"C0A650","2020-04-30 00:00:00","287.000","0.000","0.200","19.300","0.820","984.000","","0.000","-99.000","-99.000","-99.000","29.200","","17.600",""
"C0U750","2020-04-30 00:00:00","398.000","187.000","4.300","19.000","1.000","972.300","","0.000","-99.000","-99.000","-99.000","20.400","","17.700",""
"C0M730","2020-04-30 00:00:00","40.000","0.000","0.000","22.900","0.820","1011.300","","0.000","-99.000","-99.000","-99.000","31.600","","20.600",""
"C0Z061","2020-04-30 00:00:00","174.000","112.000","0.300","19.200","0.990","1002.200","","0.000","-99.000","-99.000","-99.000","27.800","","15.400",""
"C0M670","2020-04-30 00:00:00","43.000","162.000","1.000","22.400","0.830","1011.100","","0.000","-99.000","-99.000","-99.000","28.600","","20.600",""
"C0I530","2020-04-30 00:00:00","3014.000","217.000","5.300","4.000","0.660","-99.000","","-99.000","-99.000","-99.000","-99.000","9.800","","2.000",""
"C0A880","2020-04-30 00:00:00","6.000","183.000","4.000","23.000","0.760","1014.500","","0.000","11.500","176.000","","26.400","","19.900",""
"C0S950","2020-04-30 00:00:00","415.000","226.000","1.800","18.800","0.940","970.700","","0.000","-99.000","-99.000","-99.000","23.900","","16.600",""
"C0X190","2020-04-30 00:00:00","10.000","317.000","0.400","24.000","0.860","1015.000","","0.000","-99.000","-99.000","-99.000","28.000","","22.700",""
"C0A560","2020-04-30 00:00:00","405.000","0.000","0.000","17.700","0.990","972.400","","0.000","-99.000","-99.000","-99.000","25.800","","16.800",""
"C0C700","2020-04-30 00:00:00","151.000","135.000","1.300","21.800","0.740","999.300","","0.000","-99.000","-99.000","-99.000","28.300","","20.700",""
"C0W130","2020-04-30 00:00:00","18.000","357.000","1.000","21.400","0.910","1013.700","","0.000","-99.000","-99.000","-99.000","24.500","","21.400",""
"C0S890","2020-04-30 00:00:00","238.000","360.000","0.300","19.600","0.960","994.600","","0.000","-99.000","-99.000","-99.000","26.500","","15.600",""
"C0G840","2020-04-30 00:00:00","32.000","0.000","0.000","21.600","0.980","1012.000","","0.000","-99.000","-99.000","-99.000","29.000","","20.400",""
"C0V710","2020-04-30 00:00:00","34.000","325.000","0.800","25.500","0.780","1012.300","","0.000","-99.000","-99.000","-99.000","29.200","","24.000",""
"C0X140","2020-04-30 00:00:00","17.000","321.000","0.400","23.400","0.880","1014.300","","0.000","-99.000","-99.000","-99.000","30.200","","21.700",""
"C0C680","2020-04-30 00:00:00","228.000","91.000","1.300","21.300","0.720","988.600","","0.000","-99.000","-99.000","-99.000","28.900","","20.200",""
"C0D360","2020-04-30 00:00:00","523.000","0.000","0.000","16.400","0.920","956.300","","0.000","-99.000","-99.000","-99.000","25.300","","15.000",""
